season,week,snapshot_label,sportsbook,game_id,away_team,home_team,away_moneyline,home_moneyline,home_spread
2026,1,Tuesday Opening,FanDuel,2026_01_NE_SEA,NE,SEA,,,
2026,1,Tuesday Opening,FanDuel,2026_01_SF_LA,SF,LA,,,
2026,1,Tuesday Opening,FanDuel,2026_01_ARI_LAC,ARI,LAC,450,-600,-10.5
2026,1,Tuesday Opening,FanDuel,2026_01_ATL_PIT,ATL,PIT,136,-162,-3
2026,1,Tuesday Opening,FanDuel,2026_01_BAL_IND,BAL,IND,-186,156,3.5
2026,1,Tuesday Opening,FanDuel,2026_01_BUF_HOU,BUF,HOU,-106,-110,-1.5
2026,1,Tuesday Opening,FanDuel,2026_01_CHI_CAR,CHI,CAR,-146,124,2.5
2026,1,Tuesday Opening,FanDuel,2026_01_CLE_JAX,CLE,JAX,330,-420,-7.5
2026,1,Tuesday Opening,FanDuel,2026_01_DAL_NYG,DAL,NYG,-146,124,2.5
2026,1,Tuesday Opening,FanDuel,2026_01_GB_MIN,GB,MIN,-102,-116,-1.5
2026,1,Tuesday Opening,FanDuel,2026_01_MIA_LV,MIA,LV,168,-200,-3.5
2026,1,Tuesday Opening,FanDuel,2026_01_NO_DET,NO,DET,290,-360,-7
2026,1,Tuesday Opening,FanDuel,2026_01_NYJ_TEN,NYJ,TEN,120,-142,-2.5
2026,1,Tuesday Opening,FanDuel,2026_01_TB_CIN,TB,CIN,176,-210,-3.5
2026,1,Tuesday Opening,FanDuel,2026_01_WAS_PHI,WAS,PHI,198,-240,-5.5
2026,1,Tuesday Opening,FanDuel,2026_01_DEN_KC,DEN,KC,130,-154,-2.5
